页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907546252413648,未晞清猗·-·,2023-05-31 19:47:47,#贵州教师溺亡河边发现一堆鹅卵石#离谱，现在真的是跪着教书，家长动不动投诉，学校动不动施压，哪里能做到真正的教书育人 ,0,0,20,湖北,武汉,湖北,中国,star 1
2,4907547079215917,摇温,2023-05-31 19:51:04,#贵州教师溺亡河边发现一堆鹅卵石#不是校方组织，这6个老师难道是闲的蛋疼，非要捡一堆破石头回家么？？？咋，难道这6个老师都有收藏烂石头的癖好，还刚好就凑一块去捡破烂去了？特么的校方推卸责任说谎的时候草稿都不打，最基本的逻辑事实都不尊重，也太特么不把民众的智商放眼里了吧。记者调查打记者，你有通天的本事把网民的嘴都堵上啊！那个要检查的上级那么形式主义该负责任吧！那个组织的校领导该负责任吧！水电站该负责任吧！真的神烦所谓的上级检查，屁领导为了自己的乌纱帽使劲讨好上级，牺牲大部分下属的时间，这种情况在很多单位很常见吧！就拿我们单位，昨天风风火火4点开始放下手头一切工作搞卫生，就为了迎检，结果人领导不来了！卧槽特么的！,0,2,32,新疆,乌鲁木齐,新疆,中国,star 1
2,4907548455210557,螺蛳粉10级爱好者,2023-05-31 19:56:32,#贵州教师溺亡河边发现一堆鹅卵石# 一天四块钱……好不容易养大了，却捡鹅卵石丢了性命，你让人家父母怎么活？熬过了所有的苦难，却发现迎来了更大的苦难…… ,0,0,5,安徽,滁州,安徽,中国,star 4
2,4907548269874527,乙酰CoA羧化酶本酶,2023-05-31 19:55:48,#贵州教师溺亡河边发现一堆鹅卵石#等一个官方处理！！！！！！ ,0,0,2,福建,福州,福建,中国,star 1
2,4907544969481679,星星牧远,2023-05-31 19:42:41,#贵州教师溺亡河边发现一堆鹅卵石#现在的老师，副业是教书，抽时间上课而已 ,0,2,10,湖北,宜昌,湖北,中国,star 2
2,4907543328983339,轻描淡写的风清云淡,2023-05-31 19:36:10,#贵州教师溺亡河边发现一堆鹅卵石#老师是我最尊重的职业之一，2位老师失去生命，2个家庭破碎，真的是为了迎接领导捡鹅卵石出事的吗？记者一来调查就挨打了，我本来是相信官方的说法，但现在我更愿意相信家属的说法 ,0,0,28,广东,广州,广东,中国,star 5
2,4907547444906824,兔子骑士_Flora,2023-05-31 19:52:31,#贵州教师溺亡河边发现一堆鹅卵石#用脑袋想想就知道，一帮子老师谁会无缘无故约着去捡鹅卵石？40多岁和20多岁的老师要不是被安排了任务谁会白白浪费宝贵的休息时间约着一起去河边捡石头？？？发生了惨剧不知道承担责任，只知道推诿互相袒护，非说是人老师自娱自乐，自己想捡石头玩才会去河边，你看看谁会信？？？还敢打去调查真相的记者，恶劣！越想掩盖的事情大家就越应该努把力用舆论的力量让他们认错！,2,0,18,湖南,益阳,湖南,中国,star 1
2,4907547105170822,DK-meta,2023-05-31 19:51:10,#贵州教师溺亡河边发现一堆鹅卵石#……教育部门能不能管好下面的学校？每所学校有没有便捷合理的举报监督机制？让老师去捡石头，是闲着没事闹得慌？？学生的教育不用心，然后让老师做杂活，这还不好好的查这家学校是想干嘛？糊弄过关？？老百姓的命这么不值钱？？？建议上级部门好好的处理这件事。另外，水电站更加令人觉得愤怒，每年死几个人都没能让你们更加严格认真的管理，这些人眼里还有人命和尊严吗？？,0,0,4,江苏,苏州,江苏,中国,star 1
2,4907547029144509,陈晨晨01号,2023-05-31 19:50:52,#贵州教师溺亡河边发现一堆鹅卵石##2教师疑为迎接领导捡鹅卵石溺亡##校长否认教师为迎接领导捡石头溺亡#  终于有点热度了。 试问在上班时间，怎么会有6名不同学段的老师齐聚河边？一句轻飘飘的可能是约着出去玩耍吧，就把两条人命定了性。 ,0,0,1,广东,广州,广东,中国,star 4
2,4907546911967097,大风吹奏,2023-05-31 19:50:24,#贵州教师溺亡河边发现一堆鹅卵石#是不是按照学校安排去捡石子，这是个事实问题。一旦这个问题得以证明，那么因此死亡的两位老师就是工伤工亡。很显然，在这个问题上，学校与死亡教师之间是🈶根本性分歧的。并且也没见到诸如工作安排记录、微信沟通记录、证人证言等证据。如果在这个问题上达不成一致，学校就不会主动申请工伤。但是死亡的教师的近亲属可以自己申请工伤认定。在工伤认定过程中，申请人提供相关的证据材料，符合条件的予以认定工伤，就可以享受相关工伤待遇。不符合条件的不予认定工伤。如果不予认定工伤，涉事老师家属不服的，既可以申请行政复议，也可以提起行政诉讼。届时，你有什么证据拿到法庭上说，谁有理谁没理，谁合法谁不合法，自然会有个说法。闹也许能解决问题（实际上老百姓之所以习惯闹，恰恰是以往很多人靠闹得到的利益），但是闹不出情理、法理。涉及水库方是否需要承担侵权责任，那是另一个法律问题，没看到家属对于水库房的指控，就不分析了。,1,6,7,浙江,宁波,浙江,中国,star 4
3,4907546131041590,浪对虚名,2023-05-31 19:47:18,#贵州教师溺亡河边发现一堆鹅卵石# 希望贵州有关部门尽快还原真相，同时给被打记者一个说法，不包庇，不护短！ ,0,0,5,广东,中山,广东,中国,star 1
3,4907546064979951,月隐寒霜,2023-05-31 19:47:02,先不说溺亡教师学校，要负上相关的责任。当地这家水电站在放水的时候不做通知，事实是在犯罪，尤其新闻称当地人说这里每年都要死人，不知道是不是属实，希望上级公安机关对此事进行全面调查，不通知人却放水，不是故意害人吗？这家水电站为什么不做通知就放水么？另外，调查溺亡事件能有多难，是不是有当地某些部门拦阻？死了这么多人，上级政法部门应该重点调查此事。#贵州教师溺亡河边发现一堆鹅卵石#,0,0,10,上海,上海,上海,中国,star 1
3,4907542164017982,晓旋枫,2023-05-31 19:31:32,【#贵州教师溺亡河边发现一堆鹅卵石#】 可怜的教职工，苦了他的人家 ,0,0,32,河北,石家庄,河北,中国,star 4
3,4907545951474217,非著名1823,2023-05-31 19:46:35,#贵州教师溺亡河边发现一堆鹅卵石#领导一张嘴，基层跑断腿。 ,0,0,15,广西,,广西,中国,star 3
3,4907545774785889,美少女雅小丽,2023-05-31 19:45:53,#贵州教师溺亡河边发现一堆鹅卵石#如果真的是因为形式主义害了老师的命，希望相关人员能出来道歉，教书育人的地方，不是给上面看样板戏的地方，少点形式，多点内容，多点工资，比啥都强。 ,0,1,6,河北,承德,河北,中国,star 1
3,4907541857569547,会微笑的奶茶,2023-05-31 19:30:19,#贵州教师溺亡河边发现一堆鹅卵石# 每年都会淹死几个人，也不足以让他们完善制度吗？跟视人命如草芥又有什么区别？？？ ,0,5,43,山东,威海,山东,中国,star 3
4,4907541211645930,唯一纯白的茉莉花儿,2023-05-31 19:27:45,每年都淹死几个？人命如草芥般这么不值钱吗？发生过事故一两回之后难道不该思考采取措施以防再次发生吗？还有捡石子只为美化校园居然是真实存在的？#贵州教师溺亡河边发现一堆鹅卵石# ,0,2,19,重庆,重庆,重庆,中国,star 1
4,4907545423253913,华夏神都,2023-05-31 19:44:29,#贵州教师溺亡河边发现一堆鹅卵石# 事实真相到底如何，期待有一个结果！ 我宁愿相信这两位老师，不是闲的没事去捡石头，而是为了完成上面交代的任务 ,0,0,0,河南,洛阳,河南,中国,star 4
4,4907545209078684,我和时光都爱你,2023-05-31 19:43:38,#贵州教师溺亡河边发现一堆鹅卵石#这个事情，背后有什么要隐瞒的？？为啥记者来还殴打记者，是法盲还是猖狂，法治社会行强盗行径，真给贵州长脸啊！！！！ ,0,0,6,贵州,遵义,贵州,中国,star 1
4,4907544789388135,曉辰,2023-05-31 19:41:58,#贵州教师溺亡河边发现一堆鹅卵石# 哀！要有个说法儿。。。 贵州教师溺亡背后：68岁母亲称曾为供儿读书打零工，一天4块钱 ,0,0,1,中国香港,,香港,中国,star 4
4,4907544101257438,海上一浪花,2023-05-31 19:39:13,#贵州教师溺亡河边发现一堆鹅卵石#这个意外，对两个家庭就是灭顶之灾！只有加强安全防护措施，做好善后工作；狡辩推卸责任就很无耻了！我不相信校方的说法！因为死人是不能说话的。还有，就是所谓年年都有类似事件发生，水电企业应采取措施，不能这样麻木不仁。#教师溺亡村民称水电站提前放水# ,0,0,6,陕西,西安,陕西,中国,star 1
4,4907543672914640,禾呈程ch,2023-05-31 19:37:32,#贵州教师溺亡河边发现一堆鹅卵石#其他的不说，曝光两位老师的信息真的好吗？这个舆论发酵得一点不正常，让子弹飞一会吧 ,0,0,6,四川,成都,四川,中国,star 1
4,4907543266591737,韩东言,2023-05-31 19:35:55,在4月13号的事，5月30号记者采访被打，这个新闻时效性不对呀！而且目前新闻关于此事的报道，明显有所信息隐藏，比如那么准确的拦截车辆？然后就殴打，很难理解！让老师捡石子美化校园，这不合常理呀，目前是否有证据证明呢？比如聊天记录，群通知，其他老师是否接到通知？学校否认，老师家属需要证明呀！现在这个问题，语焉不详，这不正常，还原真相，澄清事实最好，没有必要藏着掖着护着！#贵州教师溺亡河边发现一堆鹅卵石#【#教师溺亡村民称水电站提前放水#：每年都会淹死几个人，那天没有在群里发通知】4月13日傍晚，贵州引子渡水电站放水，织金县马场镇的两名教师徐倩、李地军被水流卷走不幸去世。家属均称，李地军和徐倩来到凹河边，是为捡石子美化校园。对此，布底小学校长张习军、织金县宣传部相关工作人员、马场镇政府相关负责人均持否认态度。事发后，溺亡老师家属在河边发现了一堆鹅卵石和一双黑色鞋子。事故发生后，村民周明被安排在每天17时30分左右到桥上拍照，发给村干部，再由村干部通知村民水电站放水。周明称，引子渡水电站一直都是17时30分开始放水，但出事那天，“水电站确实是提前放水了，而且那天没有在群里发通知。”他还表示：“这里每年都会淹死几个人，有的都打捞不上来。”@九派新闻 贵州教师溺亡背后：68岁母亲称曾为供儿读书打零工，一天4块钱,0,0,1,辽宁,沈阳,辽宁,中国,star 3
4,4907543053469829,论历史,2023-05-31 19:35:04,#贵州教师溺亡河边发现一堆鹅卵石# 你以为形式主义只有贵州吗？有句古话说得好。。。 ,3,3,85,北京,北京,北京,中国,star 3
5,4907535813840020,澎湃新闻,2023-05-31 19:06:18,#毕节回应记者被殴打事件#【毕节回应记者采访教师溺亡事件遭殴打：不管涉及谁绝不姑息】#贵州教师溺亡河边发现一堆鹅卵石#  采访教师溺亡事件遭殴打记者已做伤情鉴定。三名打人者具体身份信息仍是谜。毕节市相关部门一负责人表示，不管涉及谁绝不姑息。被打记者称希望查清凶手背后是否有人指使。网页链接 澎湃新闻的微博视频,14,12,119,,上海,上海,中国,star 3
5,4907528150061071,封面新闻,2023-05-31 18:35:51,【#记者讲述采访遭殴打细节#：已通过照片辨认嫌疑人】5月30日晚，极目新闻记者在贵州毕节织金县采访时遭人殴打一事引发关注。目前，殴打记者的三人已被当地警方控制，被殴打的记者李贤诚在医院观察治疗。据李贤诚描述，“围殴过程持续了一分多钟”，目前他已通过照片辨认嫌疑人。（大象新闻）大象新闻的微博视频  #贵州教师溺亡河边发现一堆鹅卵石#,2,5,14,,成都,四川,中国,star 5
