页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907553052689900,无名小镇里,2023-05-31 20:14:48,#今晚有多少明星在天猫618直播# 张大大和侯明昊 没想到你们也在 ,0,2,0,贵州,安顺,贵州,中国,star 5
2,4907552733660922,林有梗,2023-05-31 20:13:32,#今晚有多少明星在天猫618直播#追星人大型泪奔现场，张大大今晚陆续连麦侯明昊、徐梦 洁，徐梦洁跳舞也太可爱了，真的好喜欢他们啊，张大大能不能帮我要要他们的签名照！ ,16,5,21,江苏,徐州,江苏,中国,star 5
2,4907552276480241,阿呆自闭了,2023-05-31 20:11:42,#今晚有多少明星在天猫618直播#谁懂啊家人们，真的很喜欢张大大…… ,0,0,0,浙江,,浙江,中国,star 5
2,4907551383099073,咸鱼王努力,2023-05-31 20:08:10,#今晚有多少明星在天猫618直播#尤其是女明星们都太美了，徐梦洁、胡可、朱丹和吉娜状态好好哦，气质完全凸显出来了，我单方面宣布给今天的造型师疯狂加鸡腿，大美女真的太爱啦！ ,2,2,3,四川,成都,四川,中国,star 5
2,4907551243633642,生活家姜十一,2023-05-31 20:07:37,居然在直播间看到张大大连麦侯明昊、徐梦洁、胡可、朱丹了，#今晚有多少明星在天猫618直播#后面还有超多明星！徐梦洁不愧是内娱甜妹，笑起来也太可爱了，咱就是说张大大能不能把你的人脉分我一点啊喂。 ,2,5,8,四川,成都,四川,中国,star 5
2,4907550023881912,趣味生活指南,2023-05-31 20:02:46,今晚的张大大星愿成真事务所直播都看了吗？排面拉满 #今晚有多少明星在天猫618直播#，接线官小张在线连麦超多明星，接受明星挑战为有缘人实现愿望。连麦徐梦洁学跳舞，连麦朱丹学绕口令、连麦吉娜学说外语、可把张大大忙坏了！听说接下来还有范丞丞、娜扎的语音彩蛋，速速去看~ ,5,11,12,四川,成都,四川,中国,star 5
2,4907549192883055,精致男孩李富贵,2023-05-31 19:59:28,#今晚有多少明星在天猫618直播#今晚张大大星愿成真事务所直播，连麦明星大家都看了吗？刚看完侯明昊、徐梦洁、胡可就来给大家安利了，速速去看超级好笑，张大大为帮大家实现愿望努力接受明星挑战，跳舞、模仿秀什么都整，不多说，谢谢你我的娱乐圈唯一人脉！ 精致男孩李富贵的微博视频 ,1034,891,7091,四川,成都,四川,中国,star 5
2,4907549129703778,Mrzzzzzz23333,2023-05-31 19:59:12,#今晚有多少明星在天猫618直播#惊喜不断了，张大大和徐梦洁梦幻联动，yyds ,0,0,4,海南,海口,海南,中国,star 5
2,4907544231806552,我的脑洞又大了,2023-05-31 19:39:45,#今晚有多少明星在天猫618直播#OMG内娱又活了！今天晚上就是内娱追星人狂喜的日子！张大大一次连麦10多个明星一次看到够的感觉谁懂啊？我喜欢的侯明昊、徐梦洁都在！谢谢张大大成为我的内娱人脉，你人还怪好嘞！ ,0,1,5,四川,成都,四川,中国,star 5
2,4907542771143793,阿呆与瓜,2023-05-31 19:33:57,家人们谁懂啊，眼睛都要看花了，侯明昊一出场我都惊呆了！此时此刻我只想魂穿张大大，近距离见到侯明昊也太幸福了，帅哥身材是真的好啊！后面还有徐梦洁、吉娜、高卿尘等超多明星，帅哥美女我爱看#今晚有多少明星在天猫618直播#？ ,2139,1068,16082,河北,石家庄,河北,中国,star 5
3,4907521657015234,会火,2023-05-31 18:10:03,这一回我愿称“缘”梦接线官@BIGBIG张大大 为娱乐圈的许愿树，#今晚有多少明星在天猫618直播#真的有点数不清啦，既然大大已经做好准备要直播连线明星大咖和品牌高层来为大家实现心愿，那我可就不客气了哦，请每一位星愿官都来接收我的愿望吧！记得上手淘搜【张大大寻有缘人】看直播，拜托内定我就是那位有缘人！#618全明星直播实现心愿#,1028,928,1346,湖南,长沙,湖南,中国,star 5
3,4907515382339392,季风号苏打,2023-05-31 17:45:07,#今晚有多少明星在天猫618直播#粗略数数就有十多位啦~到时候直播间别太热闹了！这阵容我是一把子期待住了，想要看@高卿尘Nine 的手势舞挑战，顺便能不能抽中我让我免单啊！#618全明星直播实现心愿#还不快上手淘搜【张大大寻有缘人】看直播，实现心愿啦！ ,945,353,890,广东,深圳,广东,中国,star 5
3,4907521657803555,毒舌扒王,2023-05-31 18:10:03,这次不装了，我真的已经搬好小板凳要看天猫#618全明星直播实现心愿#了！听说@侯明昊Neo 除了要公开腹肌养成术还要现场清唱？不知道能不能指定歌单呢~听说@高卿尘Nine 要发起手势舞挑战？能不能麻烦我们的“缘”梦接线官@BIGBIG张大大 来帮忙接招~现在就上手淘搜【张大大寻有缘人】看直播，重磅福利正在加码中，超级免单、品牌千元礼等你来抢！#今晚有多少明星在天猫618直播#,306,1943,414,江苏,苏州,江苏,中国,star 5
3,4907519267311632,圈热议,2023-05-31 18:00:33,#今晚有多少明星在天猫618直播#看大大直播我的嘴角就没下来过，这次携手众多明星在直播间为广大网友谋福利，真的是有太多看点了。想看@我是娜扎 的独家彩蛋公开，给粉丝送点福利~还想听@朱丹 挑战高难度绕口令！#618全明星直播实现心愿#上手淘搜【张大大寻有缘人】看直播，或许你就是下一个有缘人~ ,1529,2324,5132,广东,深圳,广东,中国,star 5
3,4907519262328273,饭圈安利鹅,2023-05-31 18:00:32,客服小张又上线咯！大大老师今晚在#618全明星直播实现心愿#主打一个给粉丝送福利，为大家实现心愿！粉丝们有福啦，赶快许下自己喜欢明星的心愿说不定就实现了呢？我先来，想听@范丞丞Adam0616 为粉丝们送上祝福语，越多越好~#今晚有多少明星在天猫618直播#赶快上手淘搜【张大大寻有缘人】看直播间啦！ ,259,397,1440,广东,深圳,广东,中国,star 5
3,4907519254987606,圈爷,2023-05-31 18:00:30,#今晚有多少明星在天猫618直播#谁懂？喜欢的明星都上天猫618直播是一种什么神仙体验！咱就是希望@BIGBIG张大大 能多多整活儿，之前看到好多宝子五花八门的星愿，希望我的星愿可以被选中！上手淘搜【张大大寻有缘人】看直播，已经搬好小板凳准备在线吃瓜啦！#618全明星直播实现心愿# 天猫的微博视频,641,1322,3317,北京,北京,北京,中国,star 5
3,4907363423749567,cs182,2023-05-31 07:41:17,刚才又经历了一次这种情况，着急锁车时一直被那个塑料片挡住，得亏公交站志愿者帮忙拦车才赶上了。 ,1,4,28,北京,北京,北京,中国,star 2
