页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907553333185805,糖醋排骨和芋泥,2023-05-31 20:15:55,#冯小刚香港卖房大赚6000万港元#  别在内地炒房就行! ,0,0,0,福建,三明,福建,中国,star 4
2,4907553123211261,大惜哥,2023-05-31 20:15:05,#冯小刚香港卖房大赚6000万港元#？？？然后呢，赚了就赚了呗，又不是赚我们的钱，再说了，这房子又不是非法侵占 ,0,0,0,广东,广州,广东,中国,star 4
2,4907553072355010,烟花易冷1124,2023-05-31 20:14:53,#冯小刚香港卖房大赚6000万港元#钱都让不缺钱的赚了，苦都给了能吃苦的 ,0,0,1,广东,东莞,广东,中国,star 4
2,4907553023073336,没空忧桑,2023-05-31 20:14:41,#冯小刚香港卖房大赚6000万港元#  生命是种体验 幸福是种感觉 [笑就对了] ,0,0,0,辽宁,大连,辽宁,中国,star 5
2,4907552901171287,simonsimon156,2023-05-31 20:14:12,#冯小刚香港卖房大赚6000万港元#13年一套房涨一倍，其实效益并不高，这个钱如果2010在北上广整两套。。。。 ,0,1,2,浙江,宁波,浙江,中国,star 4
2,4907542788707344,咩咩的圈娱,2023-05-31 19:34:01,老百姓普遍月薪4位数，圈内日新1爽起步，好像随随便便就拿出几个亿几千万的， 娱乐圈真是穷人仰望的天堂，大部分人一辈子都看不到这么多钱 看看科学家们，为人类进步做巨大的贡献，演艺圈的人凭什么挣那么多钱 #冯小刚香港卖房大赚6000万港元# ,1,20,163,四川,成都,四川,中国,star 4
2,4907552188403626,东北艾夫斯,2023-05-31 20:11:22,#冯小刚香港卖房大赚6000万港元# 狂赚6000万港元！知名导演冯小刚卖香港豪宅：实用面积约180平方米，可观中环商圈及维港海景。 东北艾夫斯的微博视频 ,0,0,0,天津,天津,天津,中国,star 4
2,4907538816702084,盖世英雄玉椒龙,2023-05-31 19:18:14,#冯小刚香港卖房大赚6000万港元#  180平方米，赚了6000万港元 ,1,13,42,山东,东营,山东,中国,star 4
2,4907552053399291,KING濛虎,2023-05-31 20:10:50,#冯小刚香港卖房大赚6000万港元#营造了一种🐟⭕有大💰可以赚的现象，是想让更多单纯的人不断加入的吧，现在都知道这个⭕很脏，但是看着这些赚💰的人，也会不断有人义无反顾的往火坑里跳 ,0,0,11,北京,北京,北京,中国,star 4
2,4907546298550596,三分黑杀手,2023-05-31 19:47:58,#冯小刚香港卖房大赚6000万港元#朱门酒肉臭 路有冻死骨 ,0,0,16,河北,廊坊,河北,中国,star 1
