页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907547468761288,平安泸州,2023-05-31 19:52:37,【注意！口腔溃疡6种情况需就医】你容易得口腔溃疡吗？口腔溃疡与身体免疫状态、精神心理紧张、遗传因素、微量元素和维生素缺乏、消化不良、内分泌不调、疲劳等都有关系。治疗口腔溃疡哪种药效果好？怎样辨别“恶性”溃疡？如何养好口腔黏膜？戳图了解↓↓↓（生命时报）  #医生跟踪3年治好女大学生天疱疮#,0,4,3,,泸州,四川,中国,star 5
2,4907547239383290,最美的风景兔子先生,2023-05-31 19:51:41,#医生跟踪3年治好女大学生天疱疮#这个医生好有耐心，花了三年估计患者，为你点  ,0,0,0,重庆,重庆,重庆,中国,star 5
2,4907539932647357,金华小陈说事,2023-05-31 19:22:40,前胸后背长红色小包包到底是痤疮？还是毛囊炎？分清楚类型才能找对方法！#医生跟踪3年治好女大学生天疱疮##科普#金华小陈说事 金华 金华小陈说事的微博视频 ,7,2,24,浙江,金华,浙江,中国,star 4
2,4907545602819059,一曲彩虹k,2023-05-31 19:45:11,#医生跟踪3年治好女大学生天疱疮#医者仁心，这位医生真好呀，为你点赞  南宁 ,0,0,1,广西,南宁,广西,中国,star 5
2,4907545364530827,淘气马1314,2023-05-31 19:44:15,#医生跟踪3年治好女大学生天疱疮#跟踪？？！！！我怕自己对这个词理解有误，赶紧去百度了！ ,0,0,2,四川,成都,四川,中国,star 1
2,4907545196759161,妇产科的陈大夫,2023-05-31 19:43:35,#医生跟踪3年治好女大学生天疱疮#一个中毒性表皮坏死松解症，一个天疱疮。这两种是我特别害怕的严重皮肤病。 图1是中毒性表皮坏死松解症，图2是天疱疮。 ,0,10,13,江苏,无锡,江苏,中国,star 1
2,4907545107369794,皮肤科医生-何黎教授,2023-05-31 19:43:14,#医生跟踪3年治好女大学生天疱疮#【什么是天疱疮？该如何治疗?】天疱疮是一种慢性、复发性的自身免疫性水疱病，好发于20-50岁的青壮年人群，是皮肤病中一种少见的、甚至威胁生命的自身免疫性疾病。天疱疮在早期阶段容易误诊，治疗的周期也相对漫长，因此是一个需要医生和患者携手奋力抵抗的“强敌”。天疱疮的确凶险但不代表它无药可治科学的治疗和患者的配合是制服这个“强敌”的关键，二者缺一不可①遵从医嘱，合理用药天疱疮的诊断与治疗对医生的专业要求非常高，患者一定要选择正规的医疗机构，这一点非常重要。天疱疮作为一种自身免疫疾病，糖皮质激素类药物和免疫抑制剂是制服它的有力武器。天疱疮的用药方案较为复杂，且因人而异，患者必须严格遵循医嘱，合理用药。通过科学合理的治疗，90%以上的天疱疮患者病情都可以得到有效控制。②切忌自行减药或停药从某种程度上来说，天疱疮令人惧怕的地方不在于疾病本身，而是患者没能积极配合治疗。天疱疮的治疗一般需要3-5年，对患者是一个严峻的考验，不少患者因为病程长，不能主动地配合治疗或坚持治疗，消极应对，因而没能战胜疾病。在整个治疗过程中，患者不能自行减药或停药!在治疗初期，患者用药的剂量一般较大，用药期间可能会出现一些不良反应，有患者因此就自行停了药;也有患者在病情得到控制后，误认为病好了，便急于减药甚至停药，这些往往都会导致皮损情况的加重，一旦病情加重，再次用药的剂量就会更大，也就增加了治疗的难度，还可能存在生命危险③摆正心态，定期随访糖皮质激素类药物是把双刃剑，它是治疗包括天疱疮在内的各种皮肤病强有力的武器，但也存在一些副作用，对此患者应当摆正心态，不要过于忧虑，应当在专业医生的指导下，随时监测病情的恢复情况和药物不良反应，定期随访，以便医生及时调整用药方案，采取相应的措施。④定期体检，正常作息在治疗过程中，患者还应定期体检，追踪自己血压、血糖等情况，出现不适情况及时就医。此外在生活中也要加强营养，规律作息，避免剧烈活动。对抗天疱疮的战线虽然长，但它并非不治之症。应对天疱疮，既需要医生为健康保驾护航更需要患者的理解与配合早期检查、合理用药、及时复诊是治疗的关键！因此患者应当摆正心态，摆脱恐惧积极治疗，战胜病魔的日子终会来临！！！,0,0,4,云南,昆明,云南,中国,star 4
2,4907544570497057,蝙蝠蝠蝠蝠蝠,2023-05-31 19:41:06,#医生跟踪3年治好女大学生天疱疮#人家那是跟踪治疗不是跟踪！差两个字意思就完全不同好吧！人家跟踪的是病情！对病情的变化进行详细记录和科学研究，然后根据记录进行针对性治疗方案的制定和随时修正！跟踪三年那是犯法的！不要乱省略啊！ ,0,3,24,陕西,西安,陕西,中国,star 2
2,4907544009773302,一点星座与情感,2023-05-31 19:38:52,#医生跟踪3年治好女大学生天疱疮#悬壶济世，妙手仁心。好医生 ,0,0,0,广东,云浮,广东,中国,star 5
2,4907543602925739,身怀绝技的暴躁小裁缝,2023-05-31 19:37:15,#医生跟踪3年治好女大学生天疱疮#这叫跟踪？？？随访好不 ,0,0,3,河南,郑州,河南,中国,star 3
