页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907554183847286,一个小朋友218,2023-05-31 20:19:18,#女生一生只能穿一次婚纱吗#现在婚纱的意义在女生这已经不限于结婚了OK?😥 还有人说你现在穿婚纱你结婚穿什么? 我结婚穿👇🏻👇🏻👇🏻 ,0,0,1,浙江,杭州,浙江,中国,star 3
2,4907554112805481,吃饭饭不,2023-05-31 20:19:01,#女生一生只能穿一次婚纱吗#穿几次都轮不到傻呗来指指点点，自己都没意见的事难道需要其他人来教育吗，不会吧不会有♂的真因为这个破防了吧 ,0,0,1,广东,东莞,广东,中国,star 1
2,4907554058801304,人间不直得-,2023-05-31 20:18:48,#女生一生只能穿一次婚纱吗#男的在出轨，找小三的时候可不会想到婚姻的纯洁与圣神 ,0,0,5,陕西,西安,陕西,中国,star 4
2,4907553983299824,马群耀的第九夫人,2023-05-31 20:18:29,#女生一生只能穿一次婚纱吗# 问： #男生一生只能穿一次西装吗 ,0,0,0,江苏,扬州,江苏,中国,star 4
2,4907553912259255,7小天使_yebbo,2023-05-31 20:18:13,#女生一生只能穿一次婚纱吗#  想穿就穿呀  随意就好 ,0,0,0,湖北,武汉,湖北,中国,star 3
2,4907553882898465,互联网大喷菇,2023-05-31 20:18:05,#女生一生只能穿一次婚纱吗#关你屁事 管的真多 ,0,0,0,河北,廊坊,河北,中国,star 1
2,4907553865863853,别翻饼了,2023-05-31 20:18:02,#女生一生只能穿一次婚纱吗#我滴妈 什么降智话题 别kfc女性了 ,0,0,0,江苏,淮安,江苏,中国,star 1
2,4907469413292084,不太正经的大大,2023-05-31 14:42:27,#女生穿婚纱看演唱会被分手#我不理解有些人的思维，也不是谁的粉丝！有人认为婚纱只有在结婚的时候它才是婚纱，其他时候只是贵一点的公主裙而已！这不是你们分手的理由，不爱就不爱，别甩锅给女生！也有人认为嫁给青春不反对，崇拜偶像不反对，但婚纱是为女性设计的，它更是为婚姻设计的。别用追星行为玷污了美好的爱情！大家怎么看！#女生一生只能穿一次婚纱吗#   不太正经的大大的微博视频,13,177,380,河南,驻马店,河南,中国,star 3
2,4907524778361215,沉默的大娱乐家,2023-05-31 18:22:26,吃完这个瓜我就觉得王源也是惨哈哈哈，这件事不管正面还是反面，被推上风口浪尖的人都会是王源。某些男性说婚纱该是给老公穿的，不是给偶像穿的。但在这句话里女性永远属于附属品，被动的客体，可她们是自己人生的主体啊！女孩子大大方方为自己的青春买单，去奔赴喜欢的偶像，这有什么问题？“她们不属于任何人，她们属于自己，她们可以穿起婚纱去看演唱会，也可以穿起西装捍卫自己的权利！”独一无二的从来不是婚纱，而是穿婚纱去见的人。#女生一生只能穿一次婚纱吗##王源演唱会 婚纱#,34,105,1491,湖北,孝感,湖北,中国,star 5
2,4907553597688903,可以為你平凡或完美,2023-05-31 20:16:58,#女生一生只能穿一次婚纱吗# 有什麼大🧊想穿就穿啊！誰規定婚紗只能結婚穿？ ,0,0,0,中国台湾,新竹市,台湾,中国,star 1
